Run_ID,Nodes,Planner_Type,Approach,Compilation,Road_Abs,Cong_Mode,Cong_Type,Cong_Rep,Fuel_En,Fuel_Mode,Fuel_Rep,Start_Node,Goal_Node,Status,Basic_Planner_Time_sec,Basic_Grounding_Time_sec,LLM_Planner_Time_sec,LLM_Grounding_Time_sec,Sum_Basic_Planner_Time_sec,Basic_Planner_Time_List_sec,Sum_Basic_Grounding_Time_sec,Basic_Grounding_Time_List_sec,Basic_Planner_Calls,Sum_LLM_Planner_Time_sec,LLM_Planner_Time_List_sec,Sum_LLM_Grounding_Time_sec,LLM_Grounding_Time_List_sec,LLM_Planner_Calls,Failure_Reason
RUN_001,100,process,node_based,parameterized,True,pddl,static,False,False,N/A,False,loc_0088,loc_0085,Success,5.431,2.414,5.275,2.207,,,,,,,,,,,
RUN_002,100,compiled_duration,node_based,parameterized,True,pddl,static,False,False,N/A,False,loc_0088,loc_0085,Success,3.048,2.128,2.899,1.925,,,,,,,,,,,
RUN_003,100,compiled_duration,node_based,compiled,True,pddl,static,False,False,N/A,False,loc_0088,loc_0085,Success,1.373,0.328,1.666,0.418,,,,,,,,,,,
RUN_004,100,compiled_duration,line_graph,parameterized,True,pddl,static,False,False,N/A,False,loc_0088,loc_0085,Success,4.273,1.328,4.288,1.200,,,,,,,,,,,
RUN_005,100,compiled_duration,line_graph,compiled,True,pddl,static,False,False,N/A,False,loc_0088,loc_0085,Success,2.491,0.772,1.716,0.478,,,,,,,,,,,
RUN_006,100,compiled_duration,node_based,compiled,False,pddl,static,False,False,N/A,False,loc_0088,loc_0085,Success,1.588,0.405,1.833,0.548,,,,,,,,,,,
RUN_007,100,compiled_duration,node_based,compiled,True,pddl,dynamic,False,False,N/A,False,loc_0088,loc_0085,Success,4.351,1.037,10.261,3.179,,,,,,,,,,,
RUN_008,100,compiled_duration,node_based,compiled,True,pddl,hybrid,False,False,N/A,False,loc_0088,loc_0085,Success,2.875,0.621,4.654,0.990,,,,,,,,,,,
RUN_009,100,process,node_based,parameterized,True,pddl,dynamic,False,False,N/A,False,loc_0088,loc_0085,Success,494.694,269.956,251.646,128.410,,,,,,,,,,,
RUN_010,100,process,node_based,parameterized,True,pddl,dynamic,True,False,N/A,False,loc_0088,loc_0085,Success,,,,,12.565,2.633 | 2.578 | 2.434 | 2.493 | 2.427,5.020,1.042 | 1.029 | 0.983 | 0.995 | 0.971,5,15.276,5.248 | 2.910 | 2.405 | 2.381 | 2.332,6.106,2.095 | 1.146 | 0.967 | 0.979 | 0.919,5,
RUN_011,100,process,node_based,parameterized,True,pddl,static,False,True,discrete,False,loc_0088,loc_0085,Success,28.501,2.427,6.402,2.005,,,,,,,,,,,
RUN_012,100,process,node_based,parameterized,True,pddl,static,False,True,continuous,False,loc_0088,loc_0085,Success,6.333,2.047,6.239,1.988,,,,,,,,,,,
RUN_013,100,process,node_based,parameterized,True,pddl,static,False,True,discrete,True,loc_0088,loc_0085,Success,,,,,4.907,2.448 | 2.459,1.911,0.950 | 0.961,2,4.768,2.387 | 2.381,1.916,0.935 | 0.981,2,
RUN_014,150,process,node_based,parameterized,True,pddl,static,False,False,N/A,False,loc_0124,loc_0049,Success,6.849,2.939,6.848,2.904,,,,,,,,,,,
RUN_015,150,compiled_duration,node_based,parameterized,True,pddl,static,False,False,N/A,False,loc_0124,loc_0049,Success,3.519,2.926,3.326,2.752,,,,,,,,,,,
RUN_016,150,compiled_duration,node_based,compiled,True,pddl,static,False,False,N/A,False,loc_0124,loc_0049,Success,0.947,0.263,0.918,0.257,,,,,,,,,,,
RUN_017,150,compiled_duration,line_graph,parameterized,True,pddl,static,False,False,N/A,False,loc_0124,loc_0049,Success,5.692,5.038,5.479,4.819,,,,,,,,,,,
RUN_018,150,compiled_duration,line_graph,compiled,True,pddl,static,False,False,N/A,False,loc_0124,loc_0049,Success,1.108,0.393,1.070,0.363,,,,,,,,,,,
RUN_019,150,compiled_duration,node_based,compiled,False,pddl,static,False,False,N/A,False,loc_0124,loc_0049,Success,0.910,0.250,0.936,0.265,,,,,,,,,,,
RUN_020,150,compiled_duration,node_based,compiled,True,pddl,dynamic,False,False,N/A,False,loc_0124,loc_0049,Success,5.802,1.501,8.112,2.138,,,,,,,,,,,
RUN_021,150,compiled_duration,node_based,compiled,True,pddl,hybrid,False,False,N/A,False,loc_0124,loc_0049,Success,2.877,0.747,3.273,0.915,,,,,,,,,,,
RUN_022,150,process,node_based,parameterized,True,pddl,dynamic,False,False,N/A,False,loc_0124,loc_0049,Timeout,3239.193,821.203,,,,,,,,,,,,,"Wall-clock limit reached (300 s); the basic planner subsequently completed in 3239.193 s (about 54 min), while the LLM planner remained incomplete. A complete rerun may require 3-4 hours and could encounter memory pressure."
RUN_023,150,process,node_based,parameterized,True,pddl,dynamic,True,False,N/A,False,loc_0124,loc_0049,Success,,,,,49.958,8.465 | 12.245 | 12.250 | 8.323 | 8.675,21.457,3.384 | 4.923 | 6.171 | 3.465 | 3.514,5,37.483,7.580 | 7.371 | 7.560 | 7.521 | 7.451,14.922,2.972 | 2.859 | 2.992 | 2.984 | 3.115,5,
RUN_024,150,process,node_based,parameterized,True,pddl,static,False,True,discrete,False,loc_0124,loc_0049,Success,30.058,15.532,28.097,15.129,,,,,,,,,,,
RUN_025,150,process,node_based,parameterized,True,pddl,static,False,True,continuous,False,loc_0124,loc_0049,Success,20.890,9.494,95.457,9.533,,,,,,,,,,,
RUN_026,150,process,node_based,parameterized,True,pddl,static,False,True,discrete,True,loc_0124,loc_0049,Success,,,,,16.670,8.194 | 8.476,6.535,3.235 | 3.300,2,15.040,7.440 | 7.600,5.723,2.849 | 2.874,2,
RUN_027,200,process,node_based,parameterized,True,pddl,static,False,False,N/A,False,loc_0071,loc_0120,Success,18.435,8.217,18.978,8.789,,,,,,,,,,,
RUN_028,200,compiled_duration,node_based,parameterized,True,pddl,static,False,False,N/A,False,loc_0071,loc_0120,Success,8.448,7.776,8.195,7.504,,,,,,,,,,,
RUN_029,200,compiled_duration,node_based,compiled,True,pddl,static,False,False,N/A,False,loc_0071,loc_0120,Success,1.164,0.362,1.159,0.355,,,,,,,,,,,
RUN_030,200,compiled_duration,line_graph,parameterized,True,pddl,static,False,False,N/A,False,loc_0071,loc_0120,Success,22.610,21.133,25.491,24.011,,,,,,,,,,,
RUN_031,200,compiled_duration,line_graph,compiled,True,pddl,static,False,False,N/A,False,loc_0071,loc_0120,Success,2.291,0.937,2.410,1.027,,,,,,,,,,,
RUN_032,200,compiled_duration,node_based,compiled,False,pddl,static,False,False,N/A,False,loc_0071,loc_0120,Success,1.200,0.375,1.265,0.423,,,,,,,,,,,
RUN_033,200,compiled_duration,node_based,compiled,True,pddl,dynamic,False,False,N/A,False,loc_0071,loc_0120,Success,10.176,2.511,18.529,5.032,,,,,,,,,,,
RUN_034,200,compiled_duration,node_based,compiled,True,pddl,hybrid,False,False,N/A,False,loc_0071,loc_0120,Success,4.404,1.106,4.898,1.090,,,,,,,,,,,
RUN_035,200,process,node_based,parameterized,True,pddl,dynamic,False,False,N/A,False,loc_0071,loc_0120,Timeout,,,,,,,,,,,,,,,"Wall-clock limit reached (300 s) during basic grounding; no completed plan was produced. Based on the runtime and scaling observed for RUN_022, a complete rerun may require 3-4 hours and could encounter memory pressure."
RUN_036,200,process,node_based,parameterized,True,pddl,dynamic,True,False,N/A,False,loc_0071,loc_0120,Success,,,,,230.057,37.759 | 37.983 | 37.612 | 37.078 | 36.816 | 42.809,104.148,16.829 | 16.550 | 17.164 | 17.225 | 17.197 | 19.183,6,384.451,45.939 | 93.276 | 68.897 | 60.801 | 75.218 | 40.320,172.440,20.674 | 26.490 | 39.238 | 22.782 | 40.338 | 22.918,6,
RUN_037,200,process,node_based,parameterized,True,pddl,static,False,True,discrete,False,loc_0071,loc_0120,Error,,,,,,,,,,,,,,,"ENHSP memory exhaustion during search with an 8192 MB Java heap; rerun basic completed, but the LLM search remained incomplete after at least 1190 s."
RUN_038,200,process,node_based,parameterized,True,pddl,static,False,True,continuous,False,loc_0071,loc_0120,Error,,,,,,,,,,,,,,,"ENHSP memory exhaustion during search with an 8192 MB Java heap; the rerun was manually stopped while memory use kept increasing, with no solved basic plan after at least 1400 s."
